"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Today is the first day of Open Enrollment. If you need coverage or want to renew coverage, go to… https://t.co/m9hPfeZPWN",FALSE,92536,NA,2020-11-01 19:18:48,TRUE,NA,"1322981436085993473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",13515,FALSE,FALSE,NA,NA
"2","Shoot your shot. https://t.co/XdZz4dh82T https://t.co/elpBmzu6hV",FALSE,969842,NA,2020-10-31 23:17:56,FALSE,NA,"1322679224692604928",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",149475,FALSE,FALSE,NA,NA
"3","Fired up to be with my friends @StevieWonder and @JoeBiden in Detroit to make sure everybody turns out to vote in t… https://t.co/uxXqcTkPRB",FALSE,38503,NA,2020-10-31 21:09:41,TRUE,NA,"1322646949707812868",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",5130,FALSE,FALSE,NA,NA
"4","Don't boo — vote! Happy Halloween, everybody. https://t.co/XdZz4dh82T https://t.co/A28ZuxPf4i",FALSE,205502,NA,2020-10-31 19:30:03,FALSE,NA,"1322621879857852416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",22779,FALSE,FALSE,NA,NA
"5","Three days, Michigan. Three days until the most important election of our lifetimes. Join me and @JoeBiden for our… https://t.co/wBrNVoZrCk",FALSE,48045,NA,2020-10-31 17:56:11,TRUE,NA,"1322598253741920256",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",6262,FALSE,FALSE,NA,NA
"6","You could be the difference between someone making it out to the polls or staying home. And many states could be de… https://t.co/S86VEphEmc",FALSE,98467,NA,2020-10-31 15:31:31,TRUE,NA,"1322561848567386113",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",15588,FALSE,FALSE,NA,NA
"7","Always great talking to @KingJames and @MavCarter about everything from this unique NBA season to the importance of… https://t.co/Y6LjXJ7LMa",FALSE,46436,NA,2020-10-31 01:01:12,TRUE,NA,"1322342828782084097",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",5735,FALSE,FALSE,NA,NA
"8","Second, volunteer—you can make calls or text voters who can use a nudge to vote for Joe. You can be the difference… https://t.co/7q5khMZoOB",FALSE,11144,"BarackObama",2020-10-30 21:03:14,TRUE,"1322282936629137409","1322282938432737286","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",1528,FALSE,FALSE,NA,NA
"9","If you're wondering how you can support @JoeBiden in these final days of the campaign, here are two ways you can he… https://t.co/Gt2GgfhK26",FALSE,20660,NA,2020-10-30 21:03:13,TRUE,NA,"1322282936629137409",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",3313,FALSE,FALSE,NA,NA
"10","What we do in these next four days will not just decide the next four years, but the future of this country. Let’s… https://t.co/hmVbLLiYDw",FALSE,221129,NA,2020-10-30 20:02:12,TRUE,NA,"1322267580028125184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",25728,FALSE,FALSE,NA,NA
"11","An important reminder as millions of folks across the country vote early or make plans to vote on November 3: You h… https://t.co/3SfoorugZV",FALSE,74543,NA,2020-10-30 17:04:48,TRUE,NA,"1322222935659192321",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",29037,FALSE,FALSE,NA,NA
"12","If we pour all our effort into these last five days and vote up and down the ticket like never before, then we will… https://t.co/09CcDUwcBA",FALSE,120889,NA,2020-10-29 20:30:29,TRUE,NA,"1321912311985197058",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",19040,FALSE,FALSE,NA,NA
"13","Here are some helpful tips about voting in person this year. Do vote early if you can, don't get out of line, and a… https://t.co/X6TxK7M9Ga",FALSE,27006,NA,2020-10-29 16:00:35,TRUE,NA,"1321844387727421440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",5277,FALSE,FALSE,NA,NA
"14","Thanks for making your voice heard, Adam. I know a thing or two about being hopeful in the rain, too.… https://t.co/qcfKxooafS",FALSE,26545,NA,2020-10-28 18:01:13,TRUE,NA,"1321512358913679366",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",2500,FALSE,FALSE,NA,NA
"15","This right here is what it's all about. Tell your mom thank you for voting, Leta. https://t.co/jx3i9laoWn",FALSE,118057,NA,2020-10-28 17:30:08,FALSE,NA,"1321504536780017665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",7723,FALSE,FALSE,NA,NA
"16","Stella, thank you for being a poll worker. You’re making a difference and helping folks cast their ballot safely. https://t.co/oPXWnBi5Ud",FALSE,52842,NA,2020-10-28 17:02:38,FALSE,NA,"1321497617721888768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",3926,FALSE,FALSE,NA,NA
"17","We’ve only got one week left in this election. I’m in Orlando for @JoeBiden to get more folks to vote and use their… https://t.co/ZALVIEr4QA",FALSE,75877,NA,2020-10-27 16:01:40,TRUE,NA,"1321119885443977217",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",11112,FALSE,FALSE,NA,NA
"18","In Miami this weekend, I dropped by The Shop to talk with @KingJames and @MavCarter about the NBA bubble, the racia… https://t.co/cGubu1qVZ3",FALSE,74105,NA,2020-10-27 15:12:53,TRUE,NA,"1321107610272227329",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",11312,FALSE,FALSE,NA,NA
"19","Republicans love to say right before an election that they’ll protect preexisting conditions. Well, Joe and I actua… https://t.co/LgH9OuC9Kv",FALSE,115352,NA,2020-10-26 21:35:20,TRUE,NA,"1320841468530012160",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",16306,FALSE,FALSE,NA,NA
"20","In the middle of a pandemic, this administration is trying to dismantle the Affordable Care Act in the Supreme Cour… https://t.co/Sw4SLniuUA",FALSE,122107,NA,2020-10-26 12:07:45,TRUE,NA,"1320698630014193664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",15840,FALSE,FALSE,NA,NA
"21","Felicidades, Sofia — I'll bet your car decorations alone inspired a few folks to head to the polls! Thank you for m… https://t.co/2m6wGf2Re5",FALSE,120934,NA,2020-10-25 21:30:22,TRUE,NA,"1320477828626948096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",9851,FALSE,FALSE,NA,NA
"22","Dawn, you're showing us all how it's done — not just making your own voice heard, but helping others do so, too. Ki… https://t.co/lka4czIr46",FALSE,65612,NA,2020-10-25 21:15:22,TRUE,NA,"1320474054206345217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",6040,FALSE,FALSE,NA,NA
"23","To anyone considering sitting this election out, look at this image. Then make a plan to vote. You're an inspiratio… https://t.co/fwSmzRhB7l",FALSE,182861,NA,2020-10-25 21:01:13,TRUE,NA,"1320470492889911298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",24459,FALSE,FALSE,NA,NA
"24","Eight months into the pandemic, as new cases are breaking records, we need an administration that’s not going to wa… https://t.co/gyMtlicnTS",FALSE,182268,NA,2020-10-25 19:02:18,TRUE,NA,"1320440566723825665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",29803,FALSE,FALSE,NA,NA
"25","In 2020, we show up early — for everything, but especially for voting. Get out there and vote!… https://t.co/89m57Fs7qw",FALSE,89862,NA,2020-10-25 14:01:11,TRUE,NA,"1320364787952504833",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",10384,FALSE,FALSE,NA,NA
"26","Hello, Florida! It's #VoteEarlyDay and we’re just 10 days away from this election. I want to see you make a plan to… https://t.co/Q1Hw3uMIfv",FALSE,77821,NA,2020-10-24 19:23:25,TRUE,NA,"1320083491904696326",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",11341,FALSE,FALSE,NA,NA
"27","One election won't make everything perfect—but it could make things better. And that's why it’s worth taking a few… https://t.co/VfL9e3uO3B",TRUE,102324,NA,2020-10-23 23:22:11,TRUE,NA,"1319781191420203010",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",15153,FALSE,FALSE,NA,NA
